cat1,cat2,cat3,nom,description,intitulé,prix_1,prix_2,prix_3
boissons,Thés / infusions Dammann,Infusions,Tisane du Berger,"Tilleul, Verveine, Menthe, Citronnelle, Fleur d’Oranger",,"3,50 €",,
boissons,Thés / infusions Dammann,Infusions,Rooibos Citrus,"Citron Vert, Clémentine, Orange Sanguine",,"3,50 €",,
boissons,Softs et Sans Alcool,Softs,Les sirops,"Melon, Pastèque, Goyave, Litchi, Grenadine, Passion, Grenade, Fraise, Cerise, Cassis, Mûre, Framboise, Pêche, Menthe, Banane, Violette, Kiwi, Rose, Orgeat, Gingembre, Pamplemousse, Citron, Citronnelle, Pulco",,"2,00 €",,
boissons,Softs et Sans Alcool,Softs,Les diabolos,"Melon, Pastèque, Goyave, Litchi, Grenadine, Passion, Grenade, Fraise, Cerise, Cassis, Mûre, Framboise, Pêche, Menthe, Banane, Violette, Kiwi, Rose, Orgeat, Gingembre, Pamplemousse, Citron, Citronnelle, Pulco",,"2,50 €",,
boissons,Softs et Sans Alcool,Softs,Boisson énergisante,,,"3,00 €",,
boissons,Softs et Sans Alcool,Softs,"Orangina, Schweppes",,,"3,60 €",,
boissons,Softs et Sans Alcool,Softs,"Breizh Cola, Breizh Zero, Breizh Agrumes, Oasis Tropical",,,"3,80 €",,
boissons,Softs et Sans Alcool,Softs,Thé glacé maison,,,"3,50 €",,
boissons,Softs et Sans Alcool,Softs,Bissap maison,,,"3,50 €",,
boissons,Softs et Sans Alcool,Softs,Café Frappé,"Café, Sirop Orgeat, Sucre",,"3,50 €",,
boissons,Softs et Sans Alcool,Softs,Cacolac,,,"3,60 €",,
boissons,Softs et Sans Alcool,Softs,Macchiato glacé,,,"4,00 €",,
boissons,Softs et Sans Alcool,Softs,Schorle Les Filles de l’Ouest,"Citron Fringant, Rhubarbe Pimpante, Menthe Fougueuse, Cassis Truculent, Pomelo Corsé",,"4,50 €",,
boissons,Softs et Sans Alcool,Softs,Ginger Beer,,,"5,00 €",,
boissons,Softs et Sans Alcool,Softs,Tensai Tea,"Thé Noir Glacé, Gingembre",,"5,00 €",,
boissons,Softs et Sans Alcool,Softs,Soda Leamo,"Ginger Ale, Orangeade, Concombre Citron",,"5,00 €",,
boissons,Softs et Sans Alcool,Softs,Sansu,"Soda Yuzu, Gingembre (Vitamine C++)",,"5,50 €",,
boissons,Softs et Sans Alcool,Softs,Kombucha Penrose,Thé Noir / Rhubarbe / Clémentine ou Thé Vert Sencha / Framboise / Menthe,,"6,00 €",,
boissons,Softs et Sans Alcool,Les Bières et Vins Sans Alcool,Jupiler Bière Sans Alcool,,,"4,50 €",,
boissons,Softs et Sans Alcool,Les Bières et Vins Sans Alcool,"Meteor IPA Sans Alcool 0,0%",,,"5,50 €",,
boissons,Softs et Sans Alcool,Les Bières et Vins Sans Alcool,"Tête Haute IPA Presque Sans Alcool 0,5%",,,"5,50 €",,
boissons,Softs et Sans Alcool,Les Bières et Vins Sans Alcool,Vin Blanc Sans Alcool,«Cypher» Domaine de Brau (Sauvignon),,"6,00 €",,
boissons,Softs et Sans Alcool,Les Bières et Vins Sans Alcool,Vin Blanc Pétillant Sans Alcool ,«Cypher» Domaine de Brau (Sauvignon),,"6,00 €",,
boissons,Softs et Sans Alcool,Les Jus,100% Pur Jus local,"Pomme (53), Raisin (49)",,"3,50 €",,
boissons,Softs et Sans Alcool,Les Jus,Vergers de la Manse (37),"Tomate, Pomme/Mangue, Pomme/Framboise, Poire, Ananas, Orange, Pamplemousse, Abricot, Fraise",,"4,50 €",,
boissons,Softs et Sans Alcool,Les Jus,Bahia,"Jus de Goyave Blanche, Litchi, Citron Vert (Vitamine C++)",,"5,00 €",,
boissons,Softs et Sans Alcool,Les Jus,Lhumeau,Jus de Raisin Pétillant,,"6,00 €",,
boissons,Softs et Sans Alcool,Les Eaux,Eau Neuve,Eau minérale plate,,"2,50 €",,
boissons,Softs et Sans Alcool,Les Eaux,Eau Neuve,Eau minérale plate,,"3,50 €",,
boissons,Softs et Sans Alcool,Les Eaux,Eau Neuve,Eau minérale gazeuse,,"3,00 €",,
boissons,Softs et Sans Alcool,Les Eaux,Plancoët Gazeuse,,,"4,00 €",,
boissons,Softs et Sans Alcool,Les Eaux,Plancoët Gazeuse,,,"5,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,"Virgin Mojito, Virgin Mojito Fruit, Virgin Piña Colada",,,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,"Virgin Spritz, Virgin Hugo Spritz",,,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Sawat,"Purée de Fraise, Jus de Cranberry, Menthe, Tonic",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Acapulco,"Jus d’Orange, Limonade, Sirop Grenadine, Citron",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Kiribata,"Jus de Cranberry, Jus d’Orange, Citron Vert Pressé",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Citronnella,"Jus de Mangue, Sirop de Citronnelle, Jus de Citron",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Ginger Berry Fizz,"Jus de Cranberry, Citron Vert Pressé, Ginger Beer",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Virgin Red Mojito,"Jus de Fleur d’Hibiscus, Menthe, Citron Vert",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Kootchooloo,"Jus de Pomme, Concombre, Jus de Citron, Sirop de Gingembre, Menthe",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Jamaican Spice,"Purée de Mangue, Jus d’Orange, Ginger Beer, Sirop Piment Maison",,"6,50 €",,
boissons,Softs et Sans Alcool,Les Cocktails Sans Alcool,Cloudy,"Jus de Goyave, Sirop de Rose, Jus de Citron Vert, Jus de Fleur d’Hibiscus",,"6,50 €",,
boissons,Cocktails,Les Cocktails Classiques,"Jäger Bomb, Ti Punch",,,"5,50 €",,
boissons,Cocktails,Les Cocktails Classiques,"Caïpirinha, Caïpiroska","Caïpirinha - fruits +0,50€",,"6,00 €",,
boissons,Cocktails,Les Cocktails Classiques,"Cuba Libre, Planteur, Tequila Sunrise, Daiquiri, Mojito","Daiquiri - fruits +0,50€, Mojito - fruits +0,50€",,"6,50 €",,
boissons,Cocktails,Les Cocktails Classiques,"Cosmopolitain, Cointreaupolitain, Margarita, Cointreau Fizz, Love on the Beach, Martini Dry, Piña Colada, Russe Blanc",,,"7,50 €",,
boissons,Cocktails,Les Cocktails Classiques,"Bloody Mary, London Mule, Moscow Mule, Long Island, Mai Thaï",,,"8,00 €",,
boissons,Cocktails,Les Cocktails Classiques,Grog,Pour se rechauffer,,"4,50 €",,
boissons,Cocktails,Les Cocktails Classiques,"Irish Coffee Monkey Shoulder, French Coffee",Pour se rechauffer,,"7,00 €",,
boissons,Cocktails,Les Cocktails du moment,Red Mojito,"Rhum, Citron Vert, Menthe, Jus de Fleur d’Hibiscus, Angustura, Sucre",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Spritz Violette,"Crème de Violette, Eau Gazeuse, Crémant",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Spritz Hugo,"Liqueur Fleur de Sureau, Crémant, Eau Gazeuse, Citron Vert, Zeste de Citron Jaune",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Spritz Angevin,"Bitter Giffard, Crément de Loire, Eau Gazeuse, Orange",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Sour ,"Tequila Milagro, Amaretto, Pisco",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Jam Sour,"Whisky Monkey Shoulder, Confiture, Jus de Citron",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Arapi,"Vodka, Sirop de Grenade, Citron Vert, Crème Coco",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Arawak,"Rhum, Menthe, Jus de Goyave, Citron Vert, Sucre",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Pol Lover,"Vodka, Liqueur de Melon, Sirop Framboise, Jus d’Ananas, Jus de Cranberry",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Espresso Martini,"Vodka, Kahlua, Expresso, Sucre",,"7,50 €",,
boissons,Cocktails,Les Cocktails du moment,Gin Smash,"Gin Hendrick’s, Basilic, Miel, Citron Jaune Pressé",,"8,50 €",,
boissons,Cocktails,Les Cocktails du moment,Honolulu Punch,"Rhum Sailor Jerry, Purée de Passion, Jus d’Ananas, Sirop de Vanille, Citron Vert",,"8,50 €",,
boissons,Cocktails,Les Cocktails du moment,Papete Punch,"Rhum, Pomme, Goyave, Citron Vert, Litchi",,"8,50 €",,
boissons,Cocktails,Les Cocktails du moment,Cold Kiss,"Gin Hendrick’s, Sirop de Rose, Citron Vert, Jus de Goyave, Jus de Fleur d’Hibiscus",,"8,50 €",,
boissons,Cocktails,Les Cocktails du moment,Bolly Mule,"Gin Hendrick’s, Crème de Cassis, Ginger Beer, Sirop de Rose Maison, Citron Vert Pressé",,"9,00 €",,
boissons,Pression française,Blondes,"Meteor Blonde, Lager","Brasserie Meteor, Hochfelden, 67",Demi / Pinte,"3,00 €","5,50 €",
boissons,Pression française,Blondes,"Alpaca Citra, Pale Ale","Alpaca, Segré, 49",Demi / Pinte,"3,90 €","7,00 €",
boissons,Pression française,Blondes,"Wendelinus Blonde, Abbaye","Brasserie Meteor, Hochfelden, 67",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Blondes,"La Piautre, Triple","La Piautre, La Ménitré, 49",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Blanche,Alpaca Blanche,"Alpaca, Segré, 49",Demi / Pinte,"3,90 €","7,00 €",
boissons,Pression française,IPA,"La Côale Original, IPA","La Côale, Bécon-les-Granits, 49",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,IPA,"Bonne Pâte, Double IPA","Brasserie La Bestiole, Saint-Barthélemy, 49",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,IPA,"Patoune, NEIPA","Brasserie La Bestiole, Saint-Barthélemy, 49",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Ambrée,"Enaxor, Ambrée","La Côale, Bécon-les-Granits, 49",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Fruitées,"Meteor Cerise, Rouge, Fruitée","Brasserie Meteor, Hochfelden, 67",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Fruitées,"Slash Mango, Blonde, Fruitée","Brasserie La Licorne, Saverne, 67",Demi / Pinte,"4,20 €","7,50 €",
boissons,Pression française,Autres,Panaché,,Demi / Pinte,"3,20 €","5,50 €",
boissons,Pression française,Autres,"Monaco, Bière sirop",,Demi / Pinte,"3,20 €","5,80 €",
boissons,Pression française,Autres,Picon Bière,,Demi / Pinte,"4,00 €","7,50 €",
boissons,Craft beer locales,"Brasserie Bio Artisanale Penrose, Angers",Gose,"Acidulée, Note Cassis & Citron vert",,"6,50 €",,
boissons,Craft beer locales,"Brasserie Bio Artisanale Penrose, Angers",Wheat Ale,"Bière de Blé, Légèrement Argumé",,"6,50 €",,
boissons,Craft beer locales,"Brasserie Bio Artisanale Penrose, Angers",DDH Pale Ale,"Blonde Dorée, Note Fruitée et Amer",,"6,50 €",,
boissons,Craft beer locales,"Brasserie Bio Artisanale Penrose, Angers",IPA,"Blonde Houblonnnée, Douce Amer",,"6,50 €",,
boissons,Craft beer locales,"Brasserie Bio Artisanale Penrose, Angers",NEIPA,"Blonde Houblonnnée, Note Fruité et Florale",,"6,90 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",Insouciante,Pale Ale,,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",Vagabonde,"Witbier, Orange Sanguine",,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",L’Intrépide,"Sour, Passion, Vanille",,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",Pas Commode,West Coast IPA,,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",La Pépère,"Stout, Tiramisu",,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",L’Exubérante,Double NEIPA,,"7,50 €",,
boissons,Craft beer locales,"Brasserie La Bestiole, Saint-Barthélemy",Citraddict,"DDH, IPA, Citra",,"7,50 €",,
boissons,Bières bouteille,Bières bouteille,Desperados,Aromatisée Tequila,,"5,50 €",,
boissons,Bières bouteille,Bières bouteille,Piautre Noir,Stout,,"6,00 €",,
boissons,Bières bouteille,Bières bouteille,Chouffe,Blonde,,"7,00 €",,
boissons,Bières bouteille,Bières bouteille,Kasteel Rouge,Fruits Rouges,,"7,00 €",,
boissons,Les Apéritifs,,Pastis,,,"3,00 €",,
boissons,Les Apéritifs,,"Martini Blanc, Martini Rouge",,,"3,50 €",,
boissons,Les Apéritifs,,"Porto Blanc, Porto Rouge",,,"3,50 €",,
boissons,Les Apéritifs,,Suze,,,"3,50 €",,
boissons,Les Vins Rouges,Val de Loire,Anjour Rouge AOP,"Domaine des Hautes Ouches (Cab,Franc)",Verre / Bouteille,"2,50 €",,
boissons,Les Vins Rouges,Val de Loire,Anjou Rouge AOP,"Domaine du Gerfaut (Cab,Franc)",Verre / Bouteille,"3,50 €","18,00 €",
boissons,Les Vins Rouges,Val de Loire,Anjou Grolleau,Domaine Princé (Grolleau),Verre / Bouteille,"3,50 €","18,00 €",
boissons,Les Vins Rouges,Val de Loire,Saumur Champigny AOP,"Domaine de Bourg Neuf (Cab,Franc)",Verre / Bouteille,"4,60 €","25,50 €",
boissons,Les Vins Rouges,Val de Loire,Saint Nicolas de Bourgueil AOP,"Vignoble la Jarnoterie (Cab,Franc)",Verre / Bouteille,"4,80 €","26,50 €",
boissons,Les Vins Rouges,Val de Loire,Saint Nicolas de Bourgueil AOP,"Vignoble la Jarnoterie (Cab,Franc) – Demi-bouteille",Verre / Bouteille,,"15,00 €",
boissons,Les Vins Rouges,Val de Loire,Chinon AOP « Les Galuches »,"Domaine Raffault (Cab,Franc)",Verre / Bouteille,"4,90 €","27,00 €",
boissons,Les Vins Rouges,Val de Loire,Cheverny Rouge HVE « EnCLOS du Petit Chien »,"Domaine Alpha Loire (Pinot Noir, Gamay)",Verre / Bouteille,"5,20 €","28,50 €",
boissons,Les Vins Rouges,Les Autres Régions,Bordeaux Rouge AOC « Réserve »,"Chateau la Grave de Bertin (Merlot, Cab,Franc, Cab,Sauv)",Verre / Bouteille,"3,60 €","19,00 €",
boissons,Les Vins Rouges,Les Autres Régions,"Gravé dans la Roche, IGP Coteaux du Pont du Gard","Chateau Boucarut (Syrah, vin nature)",Verre / Bouteille,"3,90 €","21,50 €",
boissons,Les Vins Rouges,Les Autres Régions,"La Croix d’Arton, IGP Côte de Gascogne","Chateau d’Arton (Merlot, Syrah, Cab,Sauv)",Verre / Bouteille,"4,00 €","22,00 €",
boissons,Les Vins Rouges,Les Autres Régions,Côtes du Rhône village Visan « Notre dame des Vignes »,Rhonéa (Grenache noir),Verre / Bouteille,"4,40 €","24,50 €",
boissons,Les Vins Rouges,Les Autres Régions,Corbières AOP,"Château du Luc (Grenache noir, Carignan, Syrah)",Verre / Bouteille,"4,60 €","25,50 €",
boissons,Les Vins Rouges,Les Autres Régions,Fitou AOC « Les Mille et Une Parcelles »,"Mont Tauch (Carignan, Grenache noir, Syrah)",Verre / Bouteille,"4,80 €","26,50 €",
boissons,Les Vins Rouges,Les Autres Régions,Saint Chinian « Le Bric à Brac »,"Domaine Calmel , Joseph (Grenache noir, Carignan, Syrah)",Verre / Bouteille,"5,20 €","28,50 €",
boissons,Les Vins Blancs,,Chardonnay IGP,Domaine des Hautes Ouches,Verre / Bouteille,"2,50 €",,
boissons,Les Vins Blancs,,Sauvignon IGP,Domaine des Hautes Ouches,Verre / Bouteille,"2,50 €",,
boissons,Les Vins Blancs,,Côte de Gascogne IGP « Les Hauts d’Arton »,"Chateau d’Arton (Colombard, Cab,Sauv)",Verre / Bouteille,"4,00 €","22,00 €",
boissons,Les Vins Blancs,,Chenin Anjou Blanc,Domaine de Gerfaut (Chenin),Verre / Bouteille,"4,00 €","22,00 €",
boissons,Les Vins Blancs,,Viognier IGP Pays d’Oc,Domaine Paul Mas (Viognier),Verre / Bouteille,"4,50 €","24,50 €",
boissons,Les Vins Blancs,,Pinot Blanc AOP Alsace,Kuentz Bas (Pinot Blanc),Verre / Bouteille,"4,70 €","15,00 €",
boissons,Les Vins Blancs,,Côteaux de l’Aubance,Domaine Papin (Chenin blanc),Verre / Bouteille,"3,20 €",,
boissons,Les Vins Blancs,,Brut Traditionnel Val de Loire,"Bouvet Ladubay - 1851 (Chardonnay, Chenin)",Verre / Bouteille,"4,00 €","22,00 €",
boissons,Les Vins Rosés,,Rosé de Loire AOP,"Domaine des Hautes Ouches (Grolleau, Gamay)",Verre / Bouteille,"2,50 €",,
boissons,Les Vins Rosés,,IGP Méditerranée « Brise Marine »,"Cercle vignerons de provence (Grenache, Cinsault)",Verre / Bouteille,"3,20 €","16,00 €",
boissons,Pichet de vin,,Anjou Rouge AOP,,25cl / 50cl / 1L,"4,20 €","8,00 €","15,00 €"
boissons,Pichet de vin,,Chardonnay IGP,,25cl / 50cl / 1L,"4,20 €","8,00 €","15,00 €"
boissons,Pichet de vin,,Sauvignon IGP,,25cl / 50cl / 1L,"4,20 €","8,00 €","15,00 €"
boissons,Pichet de vin,,Côteaux de l’Aubance AOC,,25cl / 50cl / 1L,"6,00 €","11,50 €","22,00 €"
boissons,Pichet de vin,,Rosé de Loire AOP,,25cl / 50cl / 1L,"4,00 €","8,00 €","15,00 €"
boissons,Pichet de vin,,kir / Kir Cardinal,,,"2,70 €",,
boissons,Pichet de vin,,Kir Pétillant / Kir Breton,,,"4,20 €",,
boissons,Pichet de vin,,Cidre Brut,(33cl),,"3,80 €",,
boissons,Rhums,,Rhum Arrangé Maison,,,"6,00 €",,
boissons,Rhums,,Botran,"doux, fruité",,"7,00 €",,
boissons,Rhums,,Doorly’s XO,"riche, doux, fruits secs",,"7,00 €",,
boissons,Rhums,,Barcelo Imperial,"doux, fruité",,"7,50 €",,
boissons,Rhums,,Matusalem 15 ans,"orange, vanille",,"7,50 €",,
boissons,Rhums,,Barbancourt 8 ans,"puissant, vanillé",,"7,50 €",,
boissons,Rhums,,Dictador 12 ans,"fruits exotiques, vanille",,"7,50 €",,
boissons,Rhums,,Flor de Caña 14 ans,"riche, coco, nougat, épices",,"8,00 €",,
boissons,Rhums,,Plantation XO,"boisée, mangue",,"8,00 €",,
boissons,Rhums,,Santa Teresa,"doux, miel, banane",,"8,00 €",,
boissons,Rhums,,Zacapa 23 ans,noix de muscade,,"9,00 €",,
boissons,Whiskies,Single Malt,Aberlour 10 ans,"fruité, épicé",,"7,00 €",,
boissons,Whiskies,Single Malt,Laphroaig 10 ans,tourbé,,"7,00 €",,
boissons,Whiskies,Single Malt,Armorik,très fruité et doux,,"7,00 €",,
boissons,Whiskies,Single Malt,La Piautre « Port Saint Maur »,"tourbé, fumé, épices",,"7,50 €",,
boissons,Whiskies,Single Malt,Highland Park 12 ans,"légèrement fumé, doux",,"7,50 €",,
boissons,Whiskies,Single Malt,Caol Ila,tourbé et gourmand,,"8,00 €",,
boissons,Whiskies,Blended,Irish Powers,fort caractère,,"7,00 €",,
boissons,Whiskies,Blended,Monkey Shoulder,"rond, fruits frais",,"7,00 €",,
boissons,Whiskies,Blended,Telling Stout Cask,"café, chocolat, épices",,"8,00 €",,
boissons,Whiskies,Blended,Yamazakura,"doux, aromatique, iodé",,"8,00 €",,
boissons,Whiskies,Blended,Nikka from the Barrel,"gros caractère, vanille",,"8,00 €",,
boissons,Whiskies,Bourbon,Maker’s Mark,doux,,"6,50 €",,
boissons,Whiskies,Bourbon,Woodford Reserve,"boisé, rond",,"8,00 €",,
boissons,Gins Tonics,,Gin Hendrick’s,Schweppes Tonic (10cl),,"7,90 €",,
boissons,Gins Tonics,,Gin Hendrick’s Orbium,Fever Tree Tonic (10cl),,"9,50 €",,
boissons,Gins Tonics,,Gin La Piautre « Origin »,Fever Tree Tonic (10cl) ,,"9,50 €",,
boissons,Gins Tonics,,Gin Botanist,Fever Tree Tonic (10cl),,"10,00 €",,
boissons,Digestifs,,"Cointreau, Menthe, Pastille Giffard, Peppermint, Bailey's",,,"5,00 €",,
boissons,Digestifs,,"Poire, Cognac aux Amandes Giffard, Calvados",,,"5,00 €",,
boissons,Digestifs,,Cognac VS Prestignac,,,"5,00 €",,
boissons,Digestifs,,Cognac ABK6 VSOP,,,"6,50 €",,
boissons,Digestifs,,Cointreau Noir,,,"7,50 €",,
boissons,Shots,,Menthe Pastille,,,"3,00 €",,
boissons,Shots,,"Springbok, Tequila",,,"3,50 €",,
boissons,Shots,,Smooth and Easy,"Rhum, Mangue, Vanille",,"3,50 €",,
boissons,Shots,,Ruffle,"Tequila, Passion, Banane",,"3,50 €",,
boissons,Shots,,Piscolero,"Pisco, Grenadine, Jus d’Abricot, Pulco",,"3,50 €",,
boissons,Shots,,Iros,"Vodka, Cointreau, Sirop de Cerise, Citron",,"3,50 €",,
boissons,Shots,Rhum arrangé,Rhum Arrangé,"Fraise, Basilic et Vanille",,"3,50 €",,
boissons,Shots,Rhum arrangé,Rhum Arrangé,"Orange, Cannelle et Vanille",,"3,50 €",,
boissons,Shots,Rhum arrangé,Rhum Arrangé,"Mangue, Passion et Vanille",,"3,50 €",,
boissons,Shots,Rhum arrangé,Rhum Arrangé,"Framboise, Citronnelle, Gingembre et Menthe",,"3,50 €",,
plats,Assiettes et Planches,,Houmous,Purée de pois chiche et de sésame,,"6,50 €",,
plats,Assiettes et Planches,,Tzatziki,"Yaourt, concombre, échalotes, herbes fraîches",,"6,50 €",,
plats,Assiettes et Planches,,Rillettes de Thon,"Thon, mayonnaise, persil, oignons cébette",,"7,00 €",,
plats,Assiettes et Planches,,Écrasé d’Avocat,"Avocat, coriandre, piment, huile d’olive, citron",,"7,00 €",,
plats,Assiettes et Planches,,Rillettes Basques,"Chorizo, cream cheese, piment d’Espelette",,"7,00 €",,
plats,Assiettes et Planches,,Mozza,"Mozzarella 50g, pignons, pesto, basilic, tomates séchées",,"7,00 €",,
plats,Assiettes et Planches,,Tartinades Maison à Partager,"4 choix parmi: Houmous, Tzatziki, Rillettes de Thon, Écrasé d’Avocat, Rillettes Basques, Mozza",,"23,00 €",,
plats,Assiettes et Planches,,Camembert Rôti,"Camembert 150g, miel, thym",,"10,00 €",,
plats,Assiettes et Planches,,Fromage,"Camembert, Comté, Morbier, Chèvre, Laïous, Saint-Nectaire",,"11,00 €",,
plats,Assiettes et Planches,,Charcuterie,"Bœuf fumé, coppa affinée, filet mignon fumé, saucissons, jambon Bodega Reserva 24 mois",,"12,00 €",,
plats,Assiettes et Planches,,Mixte,Assiette de charcuterie + fromage,,"21,00 €",,
plats,Assiettes et Planches,,Tapas,"Beignets calamar/oignons/crevettes, accras, mozzarella sticks, poulet, Sauce tartare et épicée, Servi avec frites",,"22,00 €",,
plats,Assiettes et Planches,,Saucissons 150g,"Cèpes, Piment, Comté, Nature, Poivre…",,"5,00 €",,
plats,Assiettes et Planches,,Frites Maison,"1 sauce incluse Supplément sauce +0,30€",,"3,00 €",,
plats,Assiettes et Planches,,Frites Maison XL,"2 sauces incluses, Supplément sauce +0,30€",,"5,50 €",,
plats,Assiettes et Planches,,Bol de salade verte supplémentaire,,,"3,00 €",,
plats,Soupe/Gaspacho Maison,,Demandez au serveur pour la soupe du jour,,,"5,00 €",,
plats,Salades,,Vosgienne,"Lardons, dés d’emmental, tomates séchées, salade, croûtons",,"11,00 €",,
plats,Salades,,César,"Poulet, grana padano, tomates séchées, champignons, sauce César, salade, croûtons",,"11,00 €",,
plats,Salades,,Thaï,"Poulet pané, carottes râpées, cébettes, chou, miel, sésame noir, sauce teriyaki, salade",,"14,00 €",,
plats,Salades,Végétarien,Automnale,"Avocat, pommes, betteraves, noix, céleri, salade",,"11,00 €",,
plats,Salades,Végétarien,Estival,"Melon, feta, basilic, salade",,"11,00 €",,
plats,Salades,Végétarien,Soleil,"Aubergines, noix, feta, tomates séchées, salade",,"11,00 €",,
plats,Salades,Végétarien,Falafel,"Falafels maison, houmous, tzatziki, betteraves, maïs, olives, cornichons, sésames, salade, sauce épicée",,"11,50 €",,
plats,Salades,Végétarien,Italienne,"Mozzarella burrata, concombre, basilic, tomates, pignons, roquette, pesto, huile d’olive",,"15,00 €",,
plats,Salades de pâtes froides,,Provençale,"Courgettes, poivrons, aubergines, tomates, oignons, pâtes fusilli",,"10,00 €",,
plats,Salades de pâtes froides,,Saumon,"Saumon, billes de mozzarella di bufala, aneth, concombre, pâtes fusilli",,"10,50 €",,
plats,Salades de pâtes froides,,Thon,"Thon, maïs, olives, tomates cerises, concombre, cornichons, pâtes fusilli",,"10,50 €",,
plats,Salades de pâtes froides,,Brésilienne,"Poulet, mangue, concombre, olives, tomates cerises, roquette, maïs, mayonnaise, pâtes fusilli",,"10,50 €",,
